RISK,N_LAT,N_LON,C_MTCH_TYP
02AZ66027260,32.265774,-111.06213,FS
02AZ66028479,33.653798,-112.23703,FS
02AZ66030522,33.641088,-112.01292,FS
02AZ66031864,33.51404,-112.1176,FS
02AZ66033210,33.478122,-112.06481,FS
02AZ66033433,33.595793,-112.23719,FS
02AZ66033449,33.508748,-112.0393,FS
02AZ66033701,32.710569,-114.63776,FS
02AZ66034429,32.221823,-110.93573,FS
02AZ66034518,32.20025,-110.95588,FS
02AZ66034536,33.388393,-112.07433,FS
02AZ66035856,32.287014,-110.93845,FS
02AZ66036145,33.553965,-112.12741,FS
02AZ99002605,34.584525,-112.32067,FS
02AZ99003553,33.605514,-112.30251,FS
02AZ99004219,33.753283,-111.9247,FS
02AZ99005146,33.377526,-111.81918,FS
02AZ99005878,33.480629,-112.02102,FS
02AZ99009594,33.403072,-110.79098,FS
02AZ99010223,33.507734,-112.01251,FS
02AZ99010732,34.65027,-112.41964,FS
02AZ99010879,33.432202,-112.11832,FS
02AZ99014603,33.554068,-112.22098,FS
02AZ99015167,33.611089,-112.20482,FS
02AZ99016481,33.465749,-111.68313,FS
02AZ99118966,33.661204,-114.24047,FS
02AZ99119160,32.872099,-111.74541,FS
02AZ99119599,33.656053,-112.3799,FS
02AZ99121575,33.539219,-112.15702,FS
02AZ99121714,33.451016,-111.76335,FS
02AZ99122377,33.421695,-111.54888,FS
02AZ99123805,33.349099,-111.91051,FS
02AZ99124106,35.105129,-114.5944,FS
02AZ99124537,33.52397,-112.04551,FS
02AZ99125081,33.304757,-111.91263,FS
02AZ99125121,32.902582,-111.74061,FS
02AZ99125192,33.465478,-112.34502,FS
02AZ99125919,33.595999,-112.03667,FS
02AZ99127919,33.627189,-111.85496,FS
02AZ99128225,33.430163,-111.95439,FS
02AZ99138969,33.23573,-111.5291,FS
02AZ99139018,34.613842,-112.34352,FS
02AZ99152310,34.546278,-112.47515,FS
02AZ99152441,34.129908,-109.94676,FS
02AZ99152578,35.048344,-114.58725,FS
02AZ99153669,33.383506,-111.99097,FS
03AR66002431,35.928206,-89.865825,FS
03AR66002509,34.822602,-91.566989,FS
03AR66002545,33.59265,-93.278485,FS
03AR66003158,33.723661,-93.719322,FS
03AR66003455,35.908761,-92.628017,FS
03AR66004565,35.534326,-93.792935,FS
03AR66004994,35.459647,-93.461015,FS
03AR66005569,36.203776,-94.13308,FS
03AR66005595,36.285346,-94.150729,FS
03AR66005799,36.395343,-93.705461,FS
03AR66006112,34.832492,-92.223368,FS
